crop,pest_disease,pesticide,dosage,application_method,notes
blackgram,leaf spot,Mancozeb,2 g/L water,Spray,Follow label directions closely and reapply only as needed.
lentil,aphid,Imidacloprid,100 ml/acre,Spray,Follow label directions closely and reapply only as needed.
lentil,rust,Propiconazole,200 ml/acre,Foliar spray,Use at first symptoms and repeat after 7-10 days.
pomegranate,fruit borer,Chlorpyrifos,2 ml/L water,Spray,Spray at first sign of damage and cover the canopy well.
pomegranate,bacterial blight,Copper oxychloride,3 g/L water,Spray,Spray at the first water-soaked lesions and avoid overhead irrigation.
mango,fruit fly,Malathion,2 ml/L water,Spray,Apply around fruit clusters and repeat after rain.
mango,powdery mildew,Sulfur,2 kg/acre,Dusting,Dust or spray before heavy infection develops.
grapes,downy mildew,Metalaxyl,2 g/L water,Spray,Treat at first symptoms and under humid weather.
grapes,powdery mildew,Sulfur,2 kg/acre,Dusting,Dust or spray before heavy infection develops.
jute,stem rot,Carbendazim,2 g/L water,Spray,Use as soil drench or foliar spray depending on product directions.
jute,semilooper,Spinosad,60 ml/acre,Spray,Spray when larvae are small and avoid sunny hours.
jute,root rot,Metalaxyl,2 g/L water,Seed treatment,Use a soil drench or seed treatment for root protection.
rice,bacterial blight,Copper oxychloride,3 g/L water,Spray,Spray at the first water-soaked lesions and avoid overhead irrigation.
wheat,powdery mildew,Sulfur,2 kg/acre,Dusting,Dust or spray before heavy infection develops.
maize,maize borer,Emamectin Benzoate,75 g/acre,Spray,Apply on whorl and lower leaves for contact control.
cotton,mealybug,Imidacloprid,100 ml/acre,Spray,Spray ensuring good wetting of the undersides of leaves.
sugarcane,red rot,Propiconazole,2 g/L water,Spray,Apply preventively and maintain good field drainage.
tomato,early blight,Mancozeb,2 g/L water,Spray,Apply early and repeat after 7-10 days as needed.
potato,Colorado potato beetle,Cartap Hydrochloride,500 g/acre,Spray,Follow label directions closely and reapply only as needed.
onion,purple blotch,Mancozeb,2 g/L water,Spray,Treat under favorable conditions and avoid excessive nitrogen.
chickpea,pod fly,Thiamethoxam,100 ml/acre,Spray,Spray during pod formation and ensure full canopy coverage.
banana,spider mites,Abamectin,100 ml/acre,Spray,Apply in the cool hours and repeat if infestation persists.
blackgram,powdery mildew,Sulfur,2 kg/acre,Dusting,Dust or spray before heavy infection develops.
grapes,anthracnose,Carbendazim,2 g/L water,Spray,Apply preventively and remove infected plant material.
jute,hairy caterpillar,Emamectin Benzoate,60 g/acre,Spray,Apply with good coverage on foliage and repeat if necessary.
kidneybeans,stem rot,Carbendazim,2 g/L water,Spray,Use as soil drench or foliar spray depending on product directions.
lentil,seed rot,Metalaxyl,2 g/L water,Seed treatment,Treat seeds before planting to prevent early infection.
mothbeans,damping off,Trichoderma viride,5 g/kg seed,Seed treatment,Apply as seed treatment or soil application before sowing.
mungbean,powdery mildew,Sulfur,2 kg/acre,Dusting,Dust or spray before heavy infection develops.
pigeonpeas,pod fly,Thiamethoxam,100 ml/acre,Spray,Spray during pod formation and ensure full canopy coverage.
pomegranate,powdery mildew,Sulfur,2 kg/acre,Dusting,Dust or spray before heavy infection develops.
mango,mango hopper,Imidacloprid,100 ml/acre,Spray,Follow label directions closely and reapply only as needed.
papaya,fruit fly,Malathion,2 ml/L water,Spray,Apply around fruit clusters and repeat after rain.
papaya,anthracnose,Carbendazim,2 g/L water,Spray,Apply preventively and remove infected plant material.
papaya,root rot,Metalaxyl,2 g/L water,Soil drenching,Apply as a soil drench and avoid waterlogging.

